month 7,month 6,month 5,month 4,month 3,month 2,month 1
0.1909547138098785,0.020986032372278418,0.11639494217653541,0.14222730730587674,0.1608894086350564,0.10221001615457945,-0.13142399545117012
0.2038355211890084,0.03606035290438823,0.12972643561654776,0.1571664212528303,0.17655190745282393,0.1204190031951547,-0.1076876345718108
0.27414195640811256,0.048822000462130574,0.20029000133671906,0.17210553519978383,0.19263188229239325,0.139270253186221,-0.08395127369245159
0.34299297281852725,0.06218033996101528,0.26884582799099627,0.18704464914673752,0.21636418813751657,0.2033912980853942,-0.06021491281309216
0.3306428858597504,0.07392869437742108,0.2516591276687947,0.20198376309369095,0.22456996249906197,0.20673020147964766,-0.03647855193373312
0.33260805210635314,0.09347820444998667,0.24993257803601962,0.21692287704064464,0.2361155450319084,0.21520720847202046,-0.01274219105437363
0.3463965675887212,0.17192810048229537,0.2655130751692747,0.23186199098759805,0.25447850652981846,0.2676694844773276,0.010994169824985411
0.3848255350448832,0.19005354616988215,0.3063004254568444,0.30484746228677306,0.2795210843858989,0.33902820457209654,0.06987514763909047
0.40921482192358644,0.2585445276324865,0.3329496041110452,0.3100066736729597,0.29404684299822725,0.3534840871819122,0.1208318595202767
0.48480876698552816,0.2524447274056139,0.4071823501890384,0.3732122424054273,0.3018929852617267,0.3538359112350932,0.1655523987754287
0.4920451433303713,0.32741371840579025,0.4120018631538506,0.4266379086008891,0.3269355631178071,0.40509084042639326,0.16388948240273754
0.5619383803797267,0.3340328522858391,0.4802329847537332,0.4320376991400187,0.3586577573227162,0.4783542744093097,0.17405740403878084
0.6212308460886738,0.35322191960692834,0.47910517819295817,0.43743748967914886,0.3731835159350444,0.5086190495278049,0.22951268735530966
0.6919755143192152,0.3752143559292153,0.5614744714407949,0.5106635401728468,0.38784703716049385,0.5639726495813924,0.2615006018438693
0.6939660739020829,0.40977672575561674,0.5796605034283031,0.5375731246068323,0.4508087496012,0.5777127416095533,0.29125386019706795
0.7627946966192982,0.4409015399913165,0.6603140504807739,0.5529597422700542,0.5165179039217457,0.6115345485122581,0.35393325671047743
0.8400915040445731,0.4635715123445382,0.6647172563185657,0.556823393278368,0.5747332061921077,0.6783496266572129,0.377011933064953
0.9173883114094361,0.4828039291070578,0.7454251082760068,0.5772755340381694,0.5700635610147616,0.701179435759846,0.4034051820952123
0.971960712312871,0.5620803617704304,0.7584897782473199,0.6673095095516827,0.6403969922678459,0.7600900675976436,0.4225772863482545
