ccyy-mm,volume-plate,deal-price-low,deal-price-avg,deal-early-second,volume-bidder
2015-01,7990,74000,74216,48,98203
2015-02,7653,76500,76618,49,103224
2015-03,7406,74600,74830,16,132690
2015-04,8288,80600,80759,41,152298
2015-05,7482,79000,79099,53,156007
2015-06,7441,80000,80020,59,172205
2015-07,7531,83100,83171,55,166302
2015-08,7454,82600,82642,58,166939
2015-09,8727,82100,82172,58,165765
2015-10,7763,85300,85424,52,170995
2015-11,7514,84600,84703,56,169159
2015-12,7698,84500,84572,57,179133
2016-01,9409,82200,82352,46,187533
2016-02,8363,83200,83244,58,196470
2016-03,8310,83100,83148,57,221109
2016-04,11829,85100,85127,59,256897
2016-05,11598,85000,85058,58,277889
2016-06,11546,84400,84483,54,275438
2016-07,11475,87200,87235,57,240750
2016-08,11549,86900,86946,58,251188
2016-09,12889,86500,86523,59,229544
2016-10,11621,88300,88359,59,213212
2016-11,11549,88600,88665,57,215424
2016-12,12261,88300,88412,54,219882
2017-01,12215,87600,87685,57,232101
2017-02,10157,88200,88240,58,251717
2017-03,10356,87800,87916,55,262010
2017-04,12196,89800,89850,59,252273
2017-05,10316,90100,90209,55,270197
2017-06,10312,89400,89532,45,244349
2017-07,10325,92200,92250,57,269189
